adc_o,      xxxx  01100000xxxxxxxx
adc_x_o,    xxxx  01100001xxxxxxxx
adc_s_o,    xxxx  01100010xxxxxxxx
adci_k,     xxxx  01100011xxxxxxxx
add_o,      xxxx  01101000xxxxxxxx
add_x_o,    xxxx  01101001xxxxxxxx
add_s_o,    xxxx  01101010xxxxxxxx
addi_k,     xxxx  01101011xxxxxxxx
and_o,      xxxx  01000100xxxxxxxx
and_x_o,    xxxx  01000101xxxxxxxx
and_s_o,    xxxx  01000110xxxxxxxx
andi_k,     xxxx  01000111xxxxxxxx
cmp_o,      xxxx  00110000xxxxxxxx
cmp_x_o,    xxxx  00110001xxxxxxxx
cmp_s_o,    xxxx  00110010xxxxxxxx
cmpi_k,     xxxx  00110011xxxxxxxx
or_o,       xxxx  01110100xxxxxxxx
or_x_o,     xxxx  01110101xxxxxxxx
or_s_o,     xxxx  01110110xxxxxxxx
ori_k,      xxxx  01110111xxxxxxxx
sbb_o,      xxxx  00011000xxxxxxxx
sbb_x_o,    xxxx  00011001xxxxxxxx
sbb_s_o,    xxxx  00011010xxxxxxxx
sbbi_k,     xxxx  00011011xxxxxxxx
sub_o,      xxxx  00010000xxxxxxxx
sub_x_o,    xxxx  00010001xxxxxxxx
sub_s_o,    xxxx  00010010xxxxxxxx
subi_k,     xxxx  00010011xxxxxxxx
tst_o,      xxxx  01001100xxxxxxxx
tst_x_o,    xxxx  01001101xxxxxxxx
tst_s_o,    xxxx  01001110xxxxxxxx
tsti_k,     xxxx  01001111xxxxxxxx
xor_o,      xxxx  00110100xxxxxxxx
xor_x_o,    xxxx  00110101xxxxxxxx
xor_s_o,    xxxx  00110110xxxxxxxx
xori_k,     xxxx  00110111xxxxxxxx
sti,        xxxx  0111111110000001
txa,        xxxx  0110011100000001
tsa,        xxxx  0110011100000000
ldi_k,      xxxx  10001001xxxxxxxx
ldd_o,      xxxx  10000000xxxxxxxx
ld_x+o,     xxxx  10010111xxxxxxxx
ld_x++o,    xxxx  10010110xxxxxxxx
ld_x-+o,    xxxx  10011110xxxxxxxx
ld_+x+o,    xxxx  10000110xxxxxxxx
ld_-x+o,    xxxx  10001110xxxxxxxx
ld_s+o,     xxxx  10010011xxxxxxxx
ld_s++o,    xxxx  10010010xxxxxxxx
ld_s-+o,    xxxx  10011010xxxxxxxx
ld_+s+o,    xxxx  10000010xxxxxxxx
ld_-s+o,    xxxx  10001010xxxxxxxx
popf,       xxxx  0000001000000000
in_p,       xxxx  10010000xxxxxxxx
nop,        xxxx  0001111110000000
