adc_o,      xxxx  01100000xxxxxxxx
adc_x_o,    xxxx  01100001xxxxxxxx
adc_s_o,    xxxx  01100010xxxxxxxx
add_o,      xxxx  01101000xxxxxxxx
add_x_o,    xxxx  01101001xxxxxxxx
add_s_o,    xxxx  01101010xxxxxxxx
and_o,      xxxx  01000100xxxxxxxx
and_x_o,    xxxx  01000101xxxxxxxx
and_s_o,    xxxx  01000110xxxxxxxx
cmp_o,      xxxx  00110000xxxxxxxx
cmp_x_o,    xxxx  00110001xxxxxxxx
cmp_s_o,    xxxx  00110010xxxxxxxx
or_o,       xxxx  01110100xxxxxxxx
or_x_o,     xxxx  01110101xxxxxxxx
or_s_o,     xxxx  01110110xxxxxxxx
sbb_o,      xxxx  00011000xxxxxxxx
sbb_x_o,    xxxx  00011001xxxxxxxx
sbb_s_o,    xxxx  00011010xxxxxxxx
sub_o,      xxxx  00010000xxxxxxxx
sub_x_o,    xxxx  00010001xxxxxxxx
sub_s_o,    xxxx  00010010xxxxxxxx
tst_o,      xxxx  01001100xxxxxxxx
tst_x_o,    xxxx  01001101xxxxxxxx
tst_s_o,    xxxx  01001110xxxxxxxx
xor_o,      xxxx  00110100xxxxxxxx
xor_x_o,    xxxx  00110101xxxxxxxx
xor_s_o,    xxxx  00110110xxxxxxxx
tax,        xxxx  0000011110000000
inx,        xxxx  0000010110000000
dex,        xxxx  0000110110000000
tas,        xxxx  0000011101010000
ins,        xxxx  0000011001000000
des,        xxxx  0000111001000000
ldd_o,      xxxx  10000000xxxxxxxx
ld_x+o,     xxxx  10010111xxxxxxxx
ld_x++o,    xxxx  10010110xxxxxxxx
ld_x-+o,    xxxx  10011110xxxxxxxx
ld_+x+o,    xxxx  10000110xxxxxxxx
ld_-x+o,    xxxx  10001110xxxxxxxx
ld_s+o,     xxxx  10010011xxxxxxxx
ld_s++o,    xxxx  10010010xxxxxxxx
ld_s-+o,    xxxx  10011010xxxxxxxx
ld_+s+o,    xxxx  10000010xxxxxxxx
ld_-s+o,    xxxx  10001010xxxxxxxx
std_o,      xxxx  10100000xxxxxxxx
st_x+o,     xxxx  10110111xxxxxxxx
st_x++o,    xxxx  10110110xxxxxxxx
st_x-+o,    xxxx  10111110xxxxxxxx
st_+x+o,    xxxx  10100110xxxxxxxx
st_-x+o,    xxxx  10101110xxxxxxxx
st_s+o,     xxxx  10110011xxxxxxxx
st_s++o,    xxxx  10110010xxxxxxxx
st_s-+o,    xxxx  10111010xxxxxxxx
st_+s+o,    xxxx  10100010xxxxxxxx
st_-s+o,    xxxx  10101010xxxxxxxx
call_i_a,   0001  111xxxxxxxxxxxxx
call_3_a,   1000  111xxxxxxxxxxxxx
call_2_a,   0100  111xxxxxxxxxxxxx
call_1_a,   0010  111xxxxxxxxxxxxx
rts_i,      0001  0001111100000000
rts_2,      0100  0001111100000000
rts_1,      0010  0001111100000000
popf,       xxxx  0000001000000000
pushf,      xxxx  0000111000000000
in_p,       xxxx  10010000xxxxxxxx
out_p,      xxxx  10110000xxxxxxxx
